431,12,flow,,,,,,,,,,
num,name,east,north,power,magnitude,shape,type,sfi,ohmS,lwi,geol,flow
62,b62,783621,1106932,96,282,K,CP,0.701907471,848.5378799,11.6904255,VOLCANO-SEDIM. SCHISTS,3.5
63,b63,778659,1108086,70,20,V,CP,0.063223667,1029.414566,27.42,GRANITES,2.2
64,b64,775508,1108062,100,24,C,NC,0.233639866,1791.088991,31.936242,GRANITES,0.7
65,b65,768787,1103836,60,64,K,CP,0.45254834,1398.723245,40.9221978,GRANITES,1.2
66,b66,775966,1107022,90,40,V,EC,0.775460437,2137.270565,44.0051613,GRANITES,0.4
67,b67,769998,1102503,60,155,V,CP,0.961665223,0,,VOLCANO-SEDIM. SCHISTS,1.4
68,b68,749329,1054644,70,97,V,EC,1.159846231,2168.325909,38.1221127,GNEISS-MIGMATITES,0.7
69,b69,776019,1080180,80,97,V,EC,0.891597363,2900.15418,40.2036646,VOLCANO-SEDIM. SCHISTS,0.9
70,b70,777617,1107034,180,170,U,EC,0.270231879,829.8350544,27.5956522,GRANITES,4
71,b71,770916,1100124,50,62,C,NC,0.987080075,2114.116359,3.0581208,GRANITES,0.4
72,b72,770983,1091028,42,91,V,NC,0.772514152,1293.064209,16.3669231,GRANITES,0.9
73,b73,767215,1052082,100,169,V,CP,0.496819383,1390.524761,44.9052941,VOLCANO-SEDIM. SCHISTS,2.7
74,b74,742850,1058180,90,95,V,CP,0.270468305,1014.829756,21.6527027,GEOSYN. GRANITES,2.7
75,b75,748076,1085051,120,192,V,CP,0.747911794,1038.133202,24.41098361,GNEISS-MIGMATITES,1.7
76,b76,754115,1079576,50,102,C,NC,0.040157703,2042.0625,9.35,GRANITES,0.5
77,b77,749329,1054644,50,196,V,CB2P,0.851481251,1709.85,14.1625,GRANITES,1
78,b78,776019,1080180,240,654,K,NC,0.613695631,988.5616329,38.3026178,GEOSYN. GRANITES,8
79,b79,752506,1050938,50,38,V,NC,0,0,0,GRANITES,0
