id,east,north,power,magnitude,shape,type,sfi,ohmS,lwi,geol,flow
b50,766018.0,1128445.0,70.0,65.22149999999999,C,CB2P,1.588336966996316,100.78,27.4,SAFE GRANITES,1.0
b51,753505.0,1117617.0,30.0,69.2307,V,NC,0.6272032976988584,115.25,14.600000000000001,VOLCANO- SEDIM.  SCHISTS,2.0
b52,754227.0,1100326.0,50.0,265.734,C,CP,0.6567008525886567,709.5000000000001,22.3,SAFE GRANITES,3.6
b53,735616.0,1102288.0,50.0,44.864000000000004,W,EC,1.519871965857562,1.0,27.500000000000004,SAFE GRANITES,1.3
b54,770648.0,1051385.0,60.0,52.2455,W,EC,1.8858841851904287,313.4999999999999,10.299999999999997,SAFE GRANITES,1.0
b55,767955.0,1050173.0,40.0,103.525,V,NC,2.2821922997451614,435.6,14.0,VOLCANO- SEDIM.  SCHISTS,32.2
b56,765563.0,1048665.0,60.0,375.09,K,NC,1.3559922255896693,333.29999999999995,10.899999999999999,VOLCANO- SEDIM.  SCHISTS,10.0
b57,762543.0,1051328.0,40.0,252.121,V,NC,0.870241997558509,587.4000000000001,18.6,SAFE GRANITES,1.9
b58,761287.0,1059372.0,120.0,52.634,W,EC,7.122172280214093,409.19999999999993,13.199999999999996,SAFE GRANITES,6.1
b59,759449.0,1064727.0,70.0,46.418,V,EC,5.183112510485734,379.4999999999999,12.299999999999997,GEOSYN. GRANITES,10.8
b60,776551.0,1065147.0,70.0,41.756,K,EC,5.821756488276916,359.70000000000005,11.7,SAFE GRANITES,9.0
b61,779259.0,1064272.0,90.0,168.82330845630352,V,NC,0.7786140759168599,765.6,24.0,SAFE GRANITES,1.0
b62,781525.0,1041920.0,90.0,124.30473644481755,V,NC,0.533565422349734,283.79999999999995,9.399999999999999,SAFE GRANITES,3.0
b63,776414.0,1042778.0,50.0,100.43836,U,EC,2.831902792704816,369.6,12.0,GEOSYN. GRANITES,1.0
b64,764262.0,1019431.0,130.0,120.08,V,NC,2.8832255869343313,491.70000000000016,15.700000000000003,SAFE GRANITES,1.0
b65,760338.0,1022089.0,70.0,80.64103,W,EC,3.0671407623025435,874.5,27.299999999999997,SAFE GRANITES,1.0
b66,758933.0,1052497.0,30.0,81.26556,V,NC,1.0943337320442896,485.1,15.5,SAFE GRANITES,1.8
b67,756469.0,1061724.0,50.0,81.35342,V,NC,1.232757924428905,20.13,0.0,SAFE GRANITES,0.0
b68,765563.0,1048665.0,10.0,268.30413348053617,V,NC,0.5247181536004853,910.8000000000001,28.4,VOLCANO- SEDIM.  SCHISTS,13.0
b69,762265.0,1048046.0,30.0,335.4464577909392,C,CB2P,0.8133382688629773,504.89999999999986,16.099999999999994,"MIGMATITE, GNEISS",2.0
b70,780084.0,1113491.0,50.0,78.12221315144461,V,NC,0.35347802273038476,428.9999999999999,13.799999999999997,GEOSYN. GRANITES,1.7
b71,778691.0,1153298.0,10.0,52.68707430183338,V,NC,0.26080127859535385,465.29999999999995,14.899999999999999,VOLCANO- SEDIM.  SCHISTS,3.3
b72,783521.0,1149758.0,50.0,80.57376724167975,V,NC,0.22763094615786725,316.79999999999995,10.399999999999999,VOLCANO- SEDIM.  SCHISTS,3.5
b73,784409.0,1151257.0,50.0,101.33120357943082,C,CB2P,0.39386594120169527,310.20000000000016,10.200000000000003,SAFE GRANITES,3.0
b74,787107.0,1151577.0,130.0,92.03,W,EC,1.7925571600148331,1194.6000000000001,37.0,SAFE GRANITES,1.0
b75,780462.0,1156892.0,90.0,148.205,V,EC,1.50145403908131,1181.3999999999999,36.599999999999994,SAFE GRANITES,2.0
b76,778062.0,1156872.0,70.0,118.29112173599074,V,EC,0.5393839332505561,1062.6000000000001,33.0,SAFE GRANITES,1.7
b77,776305.0,1151489.0,70.0,46.0184,K,EC,1.0775098926616589,395.9999999999999,12.799999999999997,SAFE GRANITES,8.4
b78,786236.0,1147991.0,90.0,78.16,V,EC,1.7312718434105914,603.9,19.099999999999998,SAFE GRANITES,1.2
b79,789217.0,1150401.0,110.0,86.15781979131191,V,EC,0.9989659906003908,405.9000000000001,13.100000000000001,SAFE GRANITES,9.9
b80,776305.0,1151489.0,170.0,135.04,W,EC,4.535733223912632,485.1,15.5,GEOSYN. GRANITES,1.6
b81,769923.0,1161878.0,10.0,126.22220345131794,W,EC,0.6113810378861269,531.3000000000001,16.900000000000002,GEOSYN. GRANITES,1.2
b82,768180.0,1074182.0,110.0,80.38759999999999,V,EC,3.9833805154542326,6.6000000000000005,1.0,SAFE GRANITES,0.0
b83,759997.0,1083369.0,10.0,126.29041521592521,C,CP,0.610173790568042,1329.9000000000003,41.10000000000001,SAFE GRANITES,1.1
b84,757870.0,1086634.0,30.0,114.01861294940467,V,EC,0.546313756902616,544.5,17.3,SAFE GRANITES,1.2
b85,747427.0,1075231.0,70.0,134.5323157143611,V,EC,0.6309332319441024,293.6999999999999,9.699999999999996,GEOSYN. GRANITES,1.0
b86,745042.0,1072234.0,30.0,149.293,V,NC,1.284520710134503,452.1,14.5,GEOSYN. GRANITES,3.6
b87,791804.0,1109706.0,90.0,222.797,K,NC,1.1567792139277235,452.1,14.5,GEOSYN. GRANITES,10.0
b88,763251.0,1154519.0,10.0,261.55800341238916,V,NC,0.28771409146771953,1065.9,33.1,VOLCANO- SEDIM.  SCHISTS,2.0
b89,773891.0,1135812.0,10.0,227.29440946418654,V,EC,0.5797414763770663,564.3000000000002,17.900000000000002,SAFE GRANITES,2.0
b90,770201.0,1067188.0,170.0,80.27179000000001,W,EC,4.108046311361932,973.5000000000001,30.3,SAFE GRANITES,1.8
b91,757881.0,1067102.0,110.0,81.21094,K,EC,1.7122021383708106,666.6,21.0,SAFE GRANITES,1.2
b92,755487.0,1065594.0,30.0,195.05264319302242,V,EC,0.5020660056448454,422.4000000000001,13.600000000000001,SAFE GRANITES,8.0
b93,767760.0,1113397.0,30.0,538.4152596717347,V,NC,0.7916319246300746,13.54,0.0,SAFE GRANITES,4.0
b94,797239.0,1105873.0,50.0,151.0427981807459,V,EC,0.47380525591015693,1112.1000000000001,34.5,SAFE GRANITES,4.4
b95,802341.0,1106214.0,170.0,718.005,V,EC,1.4219325831654466,343.1999999999999,11.199999999999996,GEOSYN. GRANITES,2.7
b96,778299.0,1109301.0,30.0,1857.172642733101,V,EC,0.667899558035604,1953.6000000000001,60.0,SAFE GRANITES,8.0
b97,768426.0,1104753.0,110.0,169.80568710245583,V,EC,0.8116666097967261,382.80000000000007,12.400000000000002,SAFE GRANITES,1.1
b98,790490.0,1086430.0,90.0,222.797,W,EC,1.1567792139277235,419.1,13.5,GEOSYN. GRANITES,8.0
b99,775917.0,1106599.0,170.0,81.97997000000001,K,EC,1.4035733833114956,706.2000000000002,22.200000000000003,GEOSYN. GRANITES,1.2
b100,763055.0,1140799.0,210.0,547.775,W,EC,1.3348378864170283,1095.6000000000001,34.0,SAFE GRANITES,2.5
b101,761622.0,1131842.0,70.0,662.69,V,EC,1.7365493822624836,498.29999999999995,15.899999999999999,GEOSYN. GRANITES,2.0
b102,793026.0,1107330.0,70.0,103.26,V,EC,1.0370690873218742,257.4000000000001,8.600000000000001,GEOSYN. GRANITES,1.0
b103,790801.0,1122525.0,50.0,158.25,C,CP,1.5392400545722313,699.6,22.0,SAFE GRANITES,1.5
b104,764786.0,1109796.0,90.0,80.55556,V,EC,3.0367454499591053,171.60000000000002,6.0,SAFE GRANITES,0.0
b105,799813.0,1085311.0,150.0,57.43725,W,EC,5.3522259465583994,313.50000000000017,10.300000000000004,SAFE GRANITES,2.4
b106,764455.0,1024168.0,80.0,60.018,C,EC,1.826,402.13,45.2,"MIGMATITE, GNEISS",8.7
b107,758901.0,1049812.0,50.0,87.34,V,NC,1.3031927663197467,402.6,13.0,SAFE GRANITES,10.0
b108,766813.0,1036149.0,90.0,158.23,W,EC,3.171495921178091,465.29999999999995,14.899999999999999,GEOSYN. GRANITES,1.2
b109,789336.0,1080157.0,90.0,67.10565,V,EC,2.14670620701934,382.79999999999995,12.399999999999999,SAFE GRANITES,5.0
b110,764811.0,1064466.0,90.0,176.47930251572495,V,EC,0.844168483498158,584.1,18.5,GEOSYN. GRANITES,1.3
b111,785828.0,1106079.0,10.0,41.95399445166696,V,NC,0.3636016488494292,148.50000000000014,5.300000000000004,GEOSYN. GRANITES,5.0
b112,788376.0,1125189.0,50.0,167.56762030149508,V,EC,0.37835042629432836,2164.8000000000006,66.4,VOLCANO- SEDIM.  SCHISTS,3.0
b113,743104.0,1039272.0,50.0,169.1866365444118,V,NC,0.809935982928781,15.25,0.0,SAFE GRANITES,0.0
b114,742329.0,1066700.0,70.0,204.38405602317238,C,NC,0.9929420925952144,80.23,0.0,SAFE GRANITES,0.0
b115,793255.0,1050364.0,30.0,81.19708,U,EC,1.1910961498725807,18.23,0.0,SAFE GRANITES,0.0
b116,773955.0,1088093.0,70.0,599.3227998583476,U,NC,0.7279961127948347,567.6,18.0,GEOSYN. GRANITES,10.0
b117,768183.0,1054981.0,30.0,104.89677566544054,K,CB2P,0.48512099877925446,633.6,20.0,GEOSYN. GRANITES,1.2
b118,780323.0,1156741.0,190.0,80.55118,W,CB2P,3.6110861401070466,739.2000000000002,23.200000000000003,VOLCANO- SEDIM.  SCHISTS,1.0
b119,758411.0,1098298.0,90.0,95.175,W,EC,2.6415562552428673,237.60000000000002,8.0,SAFE GRANITES,2.0
b120,792197.0,1097168.0,90.0,80.46512,W,EC,2.9608782441384585,848.1,26.5,SAFE GRANITES,1.0
b121,780534.0,1149396.0,70.0,198.23,C,CB2P,1.0230000000000001,471.9,15.099999999999998,GEOSYN. GRANITES,8.0
b122,796244.0,1176249.0,100.0,231.05,W,EC,1.31,567.6,18.0,GEOSYN. GRANITES,10.0
b123,760533.0,1168876.0,110.0,139.24,V,NC,0.8230000000000001,339.9000000000001,11.100000000000001,SAFE GRANITES,2.0
b124,769167.0,1125933.0,120.0,168.36,V,NC,0.623,527.9999999999999,16.799999999999997,SAFE GRANITES,5.0
b125,755256.0,1131452.0,100.0,158.26,V,NC,0.523,551.1,17.5,SAFE GRANITES,10.0
b126,780534.0,1149396.0,40.0,85.1225,V,NC,3.0367454499591053,633.6,20.0,GEOSYN. GRANITES,2.5
