,id,power,magnitude,shape,type,sfi,ohmS,lwi,geol,flow
73,b74,130,92.03,W,EC,1.7925571600148331,1194.6000000000001,37.0,SAFE GRANITES,FR1
74,b75,90,148.205,V,EC,1.50145403908131,1181.3999999999999,36.599999999999994,SAFE GRANITES,FR1
75,b76,70,118.29112173599074,V,EC,0.5393839332505561,1062.6000000000001,33.0,SAFE GRANITES,FR1
76,b77,70,46.0184,K,EC,1.0775098926616589,395.9999999999999,12.799999999999997,SAFE GRANITES,FR3
77,b78,90,78.16,V,EC,1.7312718434105914,603.9,19.099999999999998,SAFE GRANITES,FR1
78,b79,110,86.15781979131191,V,EC,0.9989659906003908,405.9000000000001,13.100000000000001,SAFE GRANITES,FR3
79,b80,170,135.04,W,EC,4.535733223912632,485.1,15.5,GEOSYN. GRANITES,FR1
80,b81,10,126.22220345131794,W,EC,0.6113810378861269,531.3000000000001,16.900000000000002,GEOSYN. GRANITES,FR1
81,b82,110,80.38759999999999,V,EC,3.9833805154542326,6.6000000000000005,1.0,SAFE GRANITES,FR0
82,b83,10,126.29041521592521,C,CP,0.610173790568042,1329.9000000000003,41.10000000000001,SAFE GRANITES,FR1
83,b84,30,114.01861294940467,V,EC,0.546313756902616,544.5,17.3,SAFE GRANITES,FR1
84,b85,70,134.5323157143611,V,EC,0.6309332319441024,293.6999999999999,9.699999999999996,GEOSYN. GRANITES,FR1
85,b86,30,149.293,V,NC,1.284520710134503,452.1,14.5,GEOSYN. GRANITES,FR2
86,b87,90,222.797,K,NC,1.1567792139277235,452.1,14.5,GEOSYN. GRANITES,FR4
87,b88,10,261.55800341238916,V,NC,0.28771409146771953,1065.9,33.1,VOLCANO- SEDIM.  SCHISTS,FR1
88,b89,10,227.29440946418654,V,EC,0.5797414763770663,564.3000000000002,17.900000000000002,SAFE GRANITES,FR1
89,b90,170,80.27179000000001,W,EC,4.108046311361932,973.5000000000001,30.3,SAFE GRANITES,FR1
90,b91,110,81.21094,K,EC,1.7122021383708106,666.6,21.0,SAFE GRANITES,FR1
91,b92,30,195.05264319302242,V,EC,0.5020660056448454,422.4000000000001,13.600000000000001,SAFE GRANITES,FR3
92,b93,30,538.4152596717347,V,NC,0.7916319246300746,13.54,0.0,SAFE GRANITES,FR2
93,b94,50,151.0427981807459,V,EC,0.47380525591015693,1112.1000000000001,34.5,SAFE GRANITES,FR2
94,b95,170,718.005,V,EC,1.4219325831654466,343.1999999999999,11.199999999999996,GEOSYN. GRANITES,FR1
95,b96,30,1857.172642733101,V,EC,0.667899558035604,1953.6000000000001,60.0,SAFE GRANITES,FR3
96,b97,110,169.80568710245583,V,EC,0.8116666097967261,382.80000000000007,12.400000000000002,SAFE GRANITES,FR1
97,b98,90,222.797,W,EC,1.1567792139277235,419.1,13.5,GEOSYN. GRANITES,FR3
98,b99,170,81.97997000000001,K,EC,1.4035733833114956,706.2000000000002,22.200000000000003,GEOSYN. GRANITES,FR1
99,b100,210,547.775,W,EC,1.3348378864170283,1095.6000000000001,34.0,SAFE GRANITES,FR1
100,b101,70,662.69,V,EC,1.7365493822624836,498.29999999999995,15.899999999999999,GEOSYN. GRANITES,FR1
101,b102,70,103.26,V,EC,1.0370690873218742,257.4000000000001,8.600000000000001,GEOSYN. GRANITES,FR1
102,b103,50,158.25,C,CP,1.5392400545722313,699.6,22.0,SAFE GRANITES,FR1
103,b104,90,80.55556,V,EC,3.0367454499591053,171.60000000000002,6.0,SAFE GRANITES,FR0
104,b105,150,57.43725,W,EC,5.3522259465583994,313.50000000000017,10.300000000000004,SAFE GRANITES,FR1
105,b106,80,60.018,C,EC,1.826,402.13,45.2,"MIGMATITE, GNEISS",FR3
106,b107,50,87.34,V,NC,1.3031927663197467,402.6,13.0,SAFE GRANITES,FR4
107,b108,90,158.23,W,EC,3.171495921178091,465.29999999999995,14.899999999999999,GEOSYN. GRANITES,FR1
108,b109,90,67.10565,V,EC,2.14670620701934,382.79999999999995,12.399999999999999,SAFE GRANITES,FR2
109,b110,90,176.47930251572495,V,EC,0.844168483498158,584.1,18.5,GEOSYN. GRANITES,FR1
110,b111,10,41.95399445166696,V,NC,0.3636016488494292,148.50000000000014,5.300000000000004,GEOSYN. GRANITES,FR2
111,b112,50,167.56762030149508,V,EC,0.37835042629432836,2164.8000000000006,66.4,VOLCANO- SEDIM.  SCHISTS,FR1
112,b113,50,169.1866365444118,V,NC,0.809935982928781,15.25,0.0,SAFE GRANITES,FR0
113,b114,70,204.38405602317238,C,NC,0.9929420925952144,80.23,0.0,SAFE GRANITES,FR0
114,b115,30,81.19708,U,EC,1.1910961498725807,18.23,0.0,SAFE GRANITES,FR0
115,b116,70,599.3227998583476,U,NC,0.7279961127948347,567.6,18.0,GEOSYN. GRANITES,FR4
116,b117,30,104.89677566544054,K,CB2P,0.48512099877925446,633.6,20.0,GEOSYN. GRANITES,FR1
117,b118,190,80.55118,W,CB2P,3.6110861401070466,739.2000000000002,23.200000000000003,VOLCANO- SEDIM.  SCHISTS,FR1
118,b119,90,95.175,W,EC,2.6415562552428673,237.60000000000002,8.0,SAFE GRANITES,FR1
119,b120,90,80.46512,W,EC,2.9608782441384585,848.1,26.5,SAFE GRANITES,FR1
120,b121,70,198.23,C,CB2P,1.0230000000000001,471.9,15.099999999999998,GEOSYN. GRANITES,FR3
121,b122,100,231.05,W,EC,1.31,567.6,18.0,GEOSYN. GRANITES,FR4
122,b123,110,139.24,V,NC,0.8230000000000001,339.9000000000001,11.100000000000001,SAFE GRANITES,FR1
123,b124,120,168.36,V,NC,0.623,527.9999999999999,16.799999999999997,SAFE GRANITES,FR2
124,b125,100,158.26,V,NC,0.523,551.1,17.5,SAFE GRANITES,FR4
125,b126,40,85.1225,V,NC,3.0367454499591053,633.6,20.0,GEOSYN. GRANITES,FR1
