num	name	east	north	power	magnitude	shape	type	sfi	ohmS	lwi	geol	flow
64	b64	775508	1108062	80	47	C	NC	0.722151606	281.866242	9	GRANITES	0.7
65	b65	768787	1103836	30	25	K	CP	1.414213562	390.8021978	12.2	GRANITES	1.2
66	b66	775966	1107022	80	47	V	EC	0.722151606	143.9651613	4.6	GRANITES	8
67	b67	769998	1102503	30	25	V	CP	1.414213562		3.9	VOLCANO-SEDIM. SCHISTS	1
68	b68	749329	1054644	50	51	V	EC	1.025998075	388.0521127	12.1	GNEISS-MIGMATITES	0.7
69	b69	776019	1080180	60	57	V	EC	0.272918407	210.1136646	6.7	VOLCANO-SEDIM. SCHISTS	0.9
70	b70	777617	1107034	80	474	U	EC	0.468420948	177.1956522	5.7	GRANITES	4
71	b71	770916	1100124	40	172	C	NC	0.567329859	153.0181208	4.9	GRANITES	4.4
72	b72	770983	1091028	30	122	V	NC	0.278205947	216.2769231	7.1	GRANITES	10
73	b73	767215	1052082	40	172	V	CP	0.567329859	194.6352941	6.4	VOLCANO-SEDIM. SCHISTS	5
74	b74	742850	1058180	30	122	V	CP	0.278205947	471.3827027	14.6	GEOSYN. GRANITES	2.7
75	b75	748076	1085051	80	474	V	CP	0.468420948	74.24098361	2.3	GNEISS-MIGMATITES	0.3
76	b76	754115	1079576	40	1171	C	NC	0.515686756	209.3	6.5	GRANITES	8
77	b77	749329	1054644	30	1381	V	CB2P	0.88273142	464.0625	15	GRANITES	1
78	b78	776019	1080180	50	1823	K	NC	1.051157091	537.5026178	17	GEOSYN. GRANITES	8
79	b79	752506	1050938	50	38	V	NC	0.372161464	0	0	GRANITES	0
80	b80	755511	1050809	50	40	C	CP	1.096015511	212.8180645	6.8	GEOSYN. GRANITES	1.2
81	b81	750719	1048689	50	38	V	CB2P	0.372161464	0	0	GRANITES	0
82	b82	775379	1023509	50	40	V	CP	1.096015511	0	0	VOLCANO-SEDIM. SCHISTS	1.4
83	b83	758929	1037263	40	1171	V	EC	0.515686756	0	0	GRANITES	0.2
84	b84	767642	1035533	30	1381	W	CB2P	0.88273142	494.1416185	15.7	VOLCANO-SEDIM. SCHISTS	1
85	b85	772298	1034820	50	1823	W	CB2P	1.051157091	348.2010309	11.5	VOLCANO-SEDIM. SCHISTS	2
86	b86	779349	1035020	20	13	V	CP	0.326356976	202.6655172	6.5	GEOSYN. GRANITES	2.7
