Grid	UTM
Datum	WGS 84

Header	Name	Description	Type	Position	Altitude	Depth	Proximity	Temperature	Display Mode	Color	Symbol	Facility	City	State	Country	Date Modified	Link	Categories
Waypoint	050		User Waypoint	29 P 767410 1046417					Symbol & Name	Unknown	Waypoint					9/5/2021 5:26:15 PM 		
Waypoint	051		User Waypoint	29 P 765167 1045059					Symbol & Name	Unknown	Waypoint					9/5/2021 5:26:17 PM 		
Waypoint	052		User Waypoint	29 P 766521 1044621					Symbol & Name	Unknown	Waypoint					9/5/2021 5:26:19 PM 		
Waypoint	053		User Waypoint	29 P 764616 1059519					Symbol & Name	Unknown	Waypoint					9/5/2021 5:26:22 PM 		
Waypoint	054		User Waypoint	29 P 753618 1088071					Symbol & Name	Unknown	Waypoint					9/5/2021 5:26:24 PM 		
Waypoint	055		User Waypoint	29 P 783893 1070546					Symbol & Name	Unknown	Waypoint					9/5/2021 5:26:26 PM 		
Waypoint	056		User Waypoint	29 P 774537 1077783					Symbol & Name	Unknown	Waypoint					9/5/2021 5:26:28 PM 		
Waypoint	057		User Waypoint	29 P 769170 1073270					Symbol & Name	Unknown	Waypoint					9/5/2021 5:26:30 PM 		
Waypoint	058		User Waypoint	29 P 780856 1075295					Symbol & Name	Unknown	Waypoint					9/5/2021 5:26:32 PM 		
Waypoint	059		User Waypoint	29 P 782305 1062182					Symbol & Name	Unknown	Waypoint					9/5/2021 5:26:34 PM 		
Waypoint	061		User Waypoint	29 P 783921 1106934					Symbol & Name	Unknown	Waypoint					9/5/2021 5:26:39 PM 		
Waypoint	062		User Waypoint	29 P 785081 1112014					Symbol & Name	Unknown	Waypoint					9/5/2021 5:26:41 PM 		
Waypoint	063		User Waypoint	29 P 783621 1106932					Symbol & Name	Unknown	Waypoint					9/5/2021 5:26:43 PM 		
Waypoint	064		User Waypoint	29 P 778659 1108086					Symbol & Name	Unknown	Waypoint					9/5/2021 5:26:44 PM 		
Waypoint	065		User Waypoint	29 P 775508 1108062					Symbol & Name	Unknown	Waypoint					9/5/2021 5:26:46 PM 		
Waypoint	066		User Waypoint	29 P 768787 1103836					Symbol & Name	Unknown	Waypoint					9/5/2021 5:26:48 PM 		
Waypoint	067		User Waypoint	29 P 775966 1107022					Symbol & Name	Unknown	Waypoint					9/5/2021 5:26:50 PM 		
