hole_id,strata_name,rock_name,aquifer_group,depth_top,depth_bottom,layer_thickness,resistivity,gamma_gamma,natural_gamma,sp,short_distance_gamma,well_diameter,pumping_level,aquifer_thickness,hole_depth_before_pumping,hole_depth_after_pumping,hole_depth_loss,depth_starting_pumping,pumping_depth_at_the_end,pumping_depth,section_aperture,k,kp,r,rp,remark
H1102,siltstone,,III,392.64,393.65,0.98,15.47619048,1743.333333,14.86619048,-4.01047619,609.1428571,248.6804762,CSA4-6,,,,,,,,,,,,,
H1102,fine-grained sandstone,,III,393.65,395.9,2.18,17.33333333,898.3555556,12.10422222,-3.585555556,620.0444444,216.3368889,CSA4-6,,,,,,,,,,,,,
H1102,medium-grained sandstone,,III,395.9,411.8,15.43,18.62264151,944.1320755,9.25336478,-3.490849057,600.572327,193.4236164,CSA4-6,,,,,,,,,,,,,
H1102,siltstone,,III,411.8,412.72,0.89,17.86206897,1059.666667,10.53944444,-3.557777778,701.6666667,207.7272222,CSA4-6,,,,,,,,,,,,,
H1102,coal,4-1 Coal,III,412.72,414.18,1.42,28.77777778,5440.758621,2.243793103,-4.304482759,755.1724138,211.5051724,CSA4-6,,,,,,,,,,,,,
H1102,siltstone,,III,414.18,415.05,0.84,17.22222222,1360.444444,14.16166667,-4.583888889,661.4444444,212.6177778,CSA4-6,,,,,,,,,,,,,
H1102,medium-grained sandstone,,IV,415.05,420.52,5.28,18.52293578,1000.587156,8.288165138,-3.427247706,618.9908257,206.463211,ROOF-IV,,,,,,,,,,,,,
H1102,coal,4-2 coal,IV,420.52,421.08,0.54,27.17894737,4944.909091,5.561818182,-2.735454545,664.5454545,223.5245455,CSA6-12,,,,,,,,,,,,,
H1102,fine-grained sandstone,,IV,421.08,425.83,4.59,19.18181818,902.2526316,12.66536842,-3.157473684,591.6210526,224.4206316,CSA6-12,,,,,,,,,,,,,
H1102,coal,4-3 coal,IV,425.83,429.0,3.06,25.09375,5381.5,1.84734375,-3.1825,740.59375,223.2090625,CSA6-12,,,,,,,,,,,,,
H1102,siltstone,,IV,429.0,429.9,0.86,14.44444444,1025.666667,14.66444444,-3.047777778,578.6666667,230.625,CSA6-12,,,,,,,,,,,,,
H1102,fine-grained sandstone,,IV,429.9,433.4,3.35,15.18571429,885.3428571,12.48114286,-3.181857143,569.8285714,209.2362857,CSA6-12,,,,,,,,,,,,,
H1102,siltstone,,IV,433.4,435.4,1.91,14.7,983.3,9.1735,-2.787,574.0,189.70775,CSA6-12,,,,,,,,,,,,,
H1102,fine-grained sandstone,,IV,435.4,442.3,6.6,16.99275362,1018.84058,10.20630435,-2.935869565,599.3333333,184.0774638,CSA6-12,,,,,,,,,,,,,
H1102,medium-grained sandstone,,IV,442.3,444.75,2.34,14.85714286,997.3061224,10.58959184,-3.448163265,623.7142857,183.1983673,CSA6-12,,,,,,,,,,,,,
H1102,mudstone,,IV,444.75,445.3,0.53,12.81818182,1670.727273,17.89545455,-3.534545455,773.2727273,229.7363636,CSA6-12,,,,,,,,,,,,,
H1102,siltstone,,IV,445.3,445.87,0.55,13.0,1881.818182,13.36454545,-3.731818182,724.1818182,255.2990909,CSA6-12,,,,,,,,,,,,,
H1102,coal,,IV,445.87,446.2,0.32,12.42857143,4844.0,8.338571429,-3.67,586.5714286,268.1214286,CSA6-12,,,,,,,,,,,,,
H1102,siltstone,,IV,446.2,446.65,0.43,12.22222222,1379.777778,15.18222222,-3.685555556,534.4444444,270.3133333,CSA6-12,,,,,,,,,,,,,
H1102,fine-grained sandstone,,IV,446.65,447.77,1.07,14.18181818,984.4545455,12.20136364,-4.186363636,591.7272727,269.9845455,CSA6-12,,,,,,,,,,,,,
H1102,carbonaceous mudstone,,IV,447.77,447.93,0.15,16.0,3851.333333,10.41333333,-4.496666667,631.3333333,264.1266667,CSA12-18,,,,,,,,,,,,,
H1102,siltstone,,IV,447.93,448.6,0.64,15.71428571,1317.142857,16.81,-4.437142857,579.8571429,235.5078571,CSA12-18,,,,,,,,,,,,,
H1102,medium-grained sandstone,,IV,448.6,456.35,7.41,17.89677419,1030.877419,9.646258065,-3.949741935,594.9032258,181.6601935,CSA12-18,,,,,,,,,,,,,
H1102,siltstone,,IV,456.35,457.0,0.62,15.38461538,1125.538462,15.69153846,-4.049230769,597.2307692,198.0838462,CSA12-18,,,,,,,,,,,,,
