hole id;depth top  ;depth bottom;strata name;rock name;layer thickness ;resistivity;gamma-gamma;natural gamma;sp;short- distance gamma;well diameter ;aquifer group;pumping level;aquifer thickness;hole depth before pumping ;hole depth after pumping ;hole depth loss ;depth starting pumping ;pumping depth at the end;pumping depth ;section aperture ;k;kp;r;rp;remark 
H502;375.7;376.2;fine-grained sandstone;;0.49;28.207;1509.2;15.49;-3.112;6589.4;158.578;III;CSA2-4;;;;;;;;;;;;;
H502;376.2;376.6;siltstone;;0.39;35.5625;864.5;14.9925;-3.125;5863.375;151.5275;III;CSA2-4;;;;;;;;;;;;;
H502;376.6;377.1;mudstone;;0.49;36.172;902.9;17.774;-3.147;5968.9;149.335;III;CSA2-4;;;;;;;;;;;;;
H502;377.1;378.95;siltstone;;1.82;38.81162162;975.3783784;13.58405405;-3.15027027;6176.837838;150.8494595;III;CSA2-4;;;;;;;;;;;;;
H502;378.95;379.15;carbonaceous mudstone;;0.2;38.9175;2294;14.9525;-3.115;8392.25;153.7375;III;CSA2-4;;;;;;;;;;;;;
H502;379.15;379.7;siltstone;;0.54;39.96;2553.818182;14.34090909;-3.12;8539.363636;155.4254545;III;CSA2-4;;;;;;;;;;;;;
H502;379.7;379.96;coal;3-1 coal;0.26;41.168;5968.6;8.216;-3.12;11679.2;158.476;III;CSA2-4;;;;;;;;;;;;;
H502;379.96;380.36;siltstone;;0.39;36.14125;2540.375;14.925;-3.105;8343;162.5025;III;CSA2-4;;;;;;;;;;;;;
H502;380.36;380.5;carbonaceous mudstone;;0.14;32.81666667;2010.333333;15.93333333;-3.106666667;8261;160.94;III;CSA2-4;;;;;;;;;;;;;
H502;380.5;384.6;siltstone;;4.04;33.93792683;1005.365854;12.94670732;-3.172682927;6174.597561;151.5673171;III;CSA4-6;;;;;;;;;;;;;
H502;384.6;389.82;fine-grained sandstone;;5.14;53.31884615;936.4423077;10.29105769;-3.254903846;6054.230769;145.3914423;III;CSA4-6;;;;;;;;;;;;;
H502;389.82;390.03;mudstone;;0.21;34.01;3184.75;11.845;-3.3;10219.75;172.6525;III;CSA4-6;;;;;;;;;;;;;
H502;390.03;391.7;coal;3-2 coal;1.64;44.31882353;6797.794118;4.892941176;-3.324705882;11943.02941;155.255;III;CSA4-6;;;;;;;;;;;;;
H502;391.7;392;mudstone;;0.3;32.85;1661.5;16.40833333;-3.343333333;7538.666667;155.35;III;CSA4-6;;;;;;;;;;;;;
H502;392;399.16;fine-grained sandstone;;7.05;36.87090909;1112.083916;13.30258741;-3.534545455;6581.601399;138.9397203;III;CSA4-6;;;;;;;;;;;;;
H502;399.16;410.28;Coarse-grained sandstone;;10.95;37.16220721;1393.635135;9.723603604;-3.771666667;7326.310811;107.813018;III;CSA4-6;;;;;;;;;;;;;
H502;410.28;419.66;siltstone;;9.24;33.50617021;1151.303191;15.53138298;-3.176489362;6613.819149;140.7315957;III;CSA4-6;;;;;;;;;;;;;
H502;419.66;425.3;Coarse-grained sandstone;;5.55;43.56911504;1188.876106;9.32079646;-3.640265487;6761.504425;109.8506195;III;ROOF-IV;;;;;;;;;;;;;
H502;425.3;429.8;fine-grained sandstone;;4.43;45.03411111;1234.088889;10.48033333;-3.589;6870.033333;116.3092222;IV;ROOF-IV;;;;;;;;;;;;;
H502;429.8;436.94;Coarse-grained sandstone;;7.03;37.12169014;1437.901408;9.69056338;-3.673521127;7380.859155;106.0848592;IV;ROOF-IV;;;;;;;;;;;;;
H502;436.94;437.16;coal;4-1 Coal;0.22;42.73;6198.8;9.138;-3.282;11951;126.084;IV;ROOF-IV;;;;;;;;;;;;;
H502;437.16;437.31;mudstone;;0.15;33.04333333;2793;15.72333333;-3.27;9177;131.1833333;IV;ROOF-IV;;;;;;;;;;;;;
H502;437.31;439.22;siltstone;;1.9;37.91078947;1287.026316;14.18736842;-3.31;6965.868421;134.3884211;IV;ROOF-IV;;;;;;;;;;;;;
H502;439.22;440.07;coal;4-2 coal;0.84;60.74764706;6685.411765;4.372352941;-3.254705882;11792.52941;137.42;IV;CSA6-12;;;;;;;;;;;;;
H502;440.07;441.77;fine-grained sandstone;;1.69;37.90794118;1169.558824;14.52147059;-3.176176471;6326.205882;137.8408824;IV;CSA6-12;;;;;;;;;;;;;
H502;441.77;444;siltstone;;2.21;36.95111111;977.8;13.93488889;-3.187555556;6208.844444;137.398;IV;CSA6-12;;;;;;;;;;;;;
H502;444;454.44;Coarse-grained sandstone;;10.34;44.02942308;1317.129808;10.65259615;-3.708894231;7173.817308;106.4856731;IV;CSA12-18;;;;;;;;;;;;;
H502;454.44;456.14;mudstone;;1.68;35.34147059;1608.705882;9.170882353;-3.514117647;7691.558824;108.5414706;IV;CSA12-18;;;;;;;;;;;;;
H502;456.14;457.05;coal;4-3 coal;0.9;54.08421053;6709.157895;4.013157895;-3.287894737;11845.73684;131.9894737;IV;CSA12-18;;;;;;;;;;;;;
H502;457.05;464.31;siltstone;;7.19;37.42572414;1164.710345;14.62434483;-3.231586207;6605.586207;124.3351724;V;ROOF-V;;;;;;;;;;;;;
H502;464.31;467.51;mudstone;;3.17;27.44546875;1575.578125;16.6684375;-2.9334375;7246.3125;168.1965625;V;ROOF-V;;;;;;;;;;;;;
H502;467.51;468.23;fine-grained sandstone;;0.71;29.58142857;927.6428571;17.02857143;-2.942857143;5896.928571;153.4307143;V;CSA18+;;;;;;;;;;;;;
H502;468.23;469.75;siltstone;;1.51;31.11709677;1321.129032;18.53935484;-2.97516129;6661.322581;148.203871;V;CSA18+;;;;;;;;;;;;;
H502;469.75;470;carbonaceous mudstone;;0.25;31.816;5262.4;19.29;-3.01;11405.2;152.104;V;CSA18+;;;;;;;;;;;;;
H502;470;470.39;siltstone;;0.38;29.57857143;2004;16.98285714;-3.038571429;7350.857143;146.4385714;V;CSA18+;;;;;;;;;;;;;
H502;470.39;470.65;coal;;0.26;30.12666667;5201.666667;12.26666667;-3.053333333;11580.83333;153.065;V;CSA18+;;;;;;;;;;;;;
H502;470.65;476.95;siltstone;;6.2;34.42944444;1046.309524;15.52873016;-3.02984127;6249.325397;143.7184127;V;CSA18+;;;;;;;;;;;;;
H502;476.95;480.01;fine-grained sandstone;;3.01;29.24852459;1503.114754;14.66032787;-3.103934426;7103.639344;156.7481967;V;CSA18+;;;;;;;;;;;;;
H502;480.01;480.29;coal;;0.28;35.754;5564.6;7.098;-3.3;11614.6;146.348;V;CSA18+;;;;;;;;;;;;;
H502;480.29;490.35;fine-grained sandstone;;9.91;41.67232673;1214.039604;12.25559406;-3.399653465;6970.965347;124.7168317;V;CSA18+;;;;;;;;;;;;;
H502;490.35;496.7;siltstone;;6.25;29.96385827;1198.062992;15.50362205;-2.975984252;6659.929134;160.2372441;V;CSA18+;;;;;;;;;;;;;
H502;496.7;499.5;mudstone;;2.76;27.66303571;1723.857143;17.38982143;-2.984821429;7295.696429;159.1314286;V;CSA18+;;;;;;;;;;;;;
H502;499.5;499.75;coal;;0.25;28.352;5235;10.994;-3.088;11838.6;160.29;V;CSA18+;;;;;;;;;;;;;
H502;499.75;501.06;mudstone;;1.29;30.41076923;1356.846154;14.32884615;-3.147692308;6683.846154;134.4938462;V;CSA18+;;;;;;;;;;;;;
H502;501.06;506.73;siltstone;;5.58;35.18628319;982.0265487;15.60230088;-3.094070796;6151.654867;146.510354;V;;;;;;;;;;;;;;
H502;506.73;526.38;Coarse-grained sandstone;;19.35;45.10188295;1299.216285;9.728447837;-3.344656489;7166.745547;115.8862087;V;;;;;;;;;;;;;;
H502;526.38;528.06;fine-grained sandstone;;1.65;49.18235294;1086.176471;8.888235294;-2.677941176;6465.382353;121.7497059;V;;;;;;;;;;;;;;
H502;528.06;530.84;siltstone;;2.74;38.92;890.6545455;18.208;-2.392545455;5921.381818;140.0636364;V;;;;;;;;;;;;;;
H502;530.84;535.8;coal;6 coal;4.88;78.7082;7485.53;2.4566;-2.9059;12282.28;151.6587;V;;;;;;;;;;;;;;
H502;535.8;535.9;mudstone;;0.1;50.1;2530;13.635;-2.66;7801.5;139.73;V;;;;;;;;;;;;;;
H502;535.9;540.56;siltstone;;4.59;40.03698925;938.4623656;15.1983871;-2.670752688;5931.731183;137.3650538;V;;;;;;;;;;;;;;
H502;540.56;541.36;fine-grained sandstone;;0.8;37.96125;837.3125;17.888125;-2.7375;5828.5625;140.28875;V;;;;;;;;;;;;;;
H502;541.36;544.96;mudstone;;3.58;34.31333333;904.3611111;16.44;-2.661805556;5923.027778;149.7002778;V;;;;;;;;;;;;;;
H502;544.96;549.79;siltstone;;4.8;38.9175;978.53125;14.80760417;-2.635104167;6196.010417;138.1479167;V;;;;;;;;;;;;;;
H502;549.79;550.69;fine-grained sandstone;;0.9;39.665;1282.333333;12.49666667;-2.823333333;7248.666667;125.4561111;V;;;;;;;;;;;;;;
H502;550.69;551.39;siltstone;;0.7;40.60928571;1081.357143;15.05;-2.791428571;6775.357143;130.4778571;V;;;;;;;;;;;;;;
H502;551.39;551.89;mudstone;;0.5;40.484;1396.2;15.501;-2.892;6913.6;128.269;V;;;;;;;;;;;;;;
H502;551.89;552.09;coal;;0.2;44.72;3596.75;11.4775;-3;9786.25;125.565;V;;;;;;;;;;;;;;
H502;552.09;554.1;Coarse-grained sandstone;;2;53.84341463;1076.658537;10.87146341;-3.08195122;6446.731707;119.127561;V;;;;;;;;;;;;;;
H502;554.1;556.73;fine-grained sandstone;;2.62;56.64615385;859.6153846;12.00384615;-2.6475;6031.846154;127.8290385;V;;;;;;;;;;;;;;
H502;556.73;559.99;siltstone;;3.24;35.62492308;928.2307692;14.89830769;-2.488769231;6043.969231;145.6090769;V;;;;;;;;;;;;;;
H502;559.99;560.67;fine-grained sandstone;;0.68;39.55785714;1393.928571;13.60642857;-2.397142857;7286.214286;145.2107143;V;;;;;;;;;;;;;;
