num,name,east,north,power,magnitude,shape,type,sfi,OhmS,WI,geol,flow
59,BLESSEGUE,782305,1062182,40,177,V,NC,1.358284212,0,0,GRANITES,0.6
60,NIGUEDOUGOU,783921,1106934,40,24,V,CB2P,1.237436867,298.2128205,9.7,GRANITES,0.7
61,DOUASSO,785081,1112014,50,126,V,EC,0.897913373,185.02,5.8,GEOSYN. GRANITES,10
62,TIMBORONI,783621,1106932,20,41,K,CP,1.172762466,211.3404255,7,VOLCANO-SEDIM. SCHISTS,3.5
63,ZOUAKOUNON,778659,1108086,20,41,V,CP,1.172762466,277.2,9,GRANITES,7
64,BOYO,775508,1108062,80,47,C,NC,0.722151606,281.866242,9,GRANITES,0.7
65,TIANGALORO,768787,1103836,30,25,K,CP,1.414213562,390.8021978,12.2,GRANITES,1.2
66,KATIENDE,775966,1107022,80,47,V,EC,0.722151606,143.9651613,4.6,GRANITES,8
67,BAYA,769998,1102503,30,25,V,CP,1.414213562,,3.9,VOLCANO-SEDIM. SCHISTS,1
68,NINIORO,749329,1054644,50,51,V,EC,1.025998075,388.0521127,12.1,GNEISS-MIGMATITES,0.7
69,KPAFONON,776019,1080180,60,57,V,EC,0.272918407,210.1136646,6.7,VOLCANO-SEDIM. SCHISTS,0.9
70,WOUFIERE,777617,1107034,80,474,U,EC,0.468420948,177.1956522,5.7,GRANITES,4
71,NIBRINI,770916,1100124,40,172,C,NC,0.567329859,153.0181208,4.9,GRANITES,4.4
72,TINDARA,770983,1091028,30,122,V,NC,0.278205947,216.2769231,7.1,GRANITES,10
73,SIENRE,767215,1052082,40,172,V,CP,0.567329859,194.6352941,6.4,VOLCANO-SEDIM. SCHISTS,5
74,SINGO,742850,1058180,30,122,V,CP,0.278205947,471.3827027,14.6,GEOSYN. GRANITES,2.7
75,ZOUANIGUE,748076,1085051,80,474,V,CP,0.468420948,74.24098361,2.3,GNEISS-MIGMATITES,0.3
76,TIASSO,754115,1079576,40,1171,C,NC,0.515686756,209.3,6.5,GRANITES,8
77,OUAZOMON,749329,1054644,30,1381,V,CB2P,0.88273142,464.0625,15,GRANITES,1
78,GBALO,776019,1080180,50,1823,K,NC,1.051157091,537.5026178,17,GEOSYN. GRANITES,8
79,YELE,752506,1050938,50,38,V,NC,0.372161464,0,0,GRANITES,0
80,M'BIA,755511,1050809,50,40,C,CP,1.096015511,212.8180645,6.8,GEOSYN. GRANITES,1.2
81,KOUNDE,750719,1048689,50,38,V,CB2P,0.372161464,0,0,GRANITES,0
82,KEBI,775379,1023509,50,40,V,CP,1.096015511,0,0,VOLCANO-SEDIM. SCHISTS,1.4
83,SAMOROSSOBA,758929,1037263,40,1171,V,EC,0.515686756,0,0,GRANITES,0.2
84,TOUNGBOLI,767642,1035533,30,1381,W,CB2P,0.88273142,494.1416185,15.7,VOLCANO-SEDIM. SCHISTS,1
85,DIOGO,772298,1034820,50,1823,W,CB2P,1.051157091,348.2010309,11.5,VOLCANO-SEDIM. SCHISTS,2
86,GBAMBIASSO,779349,1035020,20,13,V,CP,0.326356976,202.6655172,6.5,GEOSYN. GRANITES,2.7
87,BOUGOULA,782508,1065241,70,37,V,CB2P,1.146659645,268.142069,8.6,GRANITES,2.5
88,SOKOURANI,760026,1061351,20,25,W,NC,0.45254834,225.4169184,7,GRANITES,0.8
89,KELENGOLA,778518,1087356,70,47,U,NC,0.752241257,226.9810056,7.2,GRANITES,0.6
90,NIEMPURGUE,771278,1071794,70,47,W,EC,0.752241257,337.3514851,10.5,GRANITES,1
91,SOGO,780328,1105713,20,13,V,CP,0.326356976,438.0514286,13.8,GEOSYN. GRANITES,2
92,SIEMPURGO,778163,1144097,70,37,V,CB2P,1.146659645,326.1176471,10.5,GEOSYN. GRANITES,1
93,KAFONON,774362,1111110,20,25,V,NC,0.45254834,,14.8,GRANITES,1.5
94,FARANDOUGOU,774051,1151223,50,300,V,CP,0.21684608,660.8130435,20.5,GRANITES,10
95,SIONFAN,761205,1163351,50,113,V,CB2P,1.20145577,196.1142857,6.4,GRANITES,2.4
96,ZEKAHA,790724,1092789.5,30,274,V,CP,0.325165892,270.248,8.3,GRANITES,2.5
97,POUNDIOU,790838,1093058,50,384,V,CP,0.935443346,197.5741935,6.4,GRANITES,1
98,SISSEPLE,790618,1092974,40,108,V,CP,1.204700442,239.0422222,7.7,GRANITES,10.8
99,ZIASSO,790594,1092865,70,43,V,CP,1.348436187,289.4783784,9.1,VOLCANO-SEDIM. SCHISTS,1
100,KAMBIALA,790194,1093026,40,121,V,CP,0.385694608,,15,GRANITES,0
101,TOUNVRE,790207,1093044,20,214,V,CP,0.786408476,188.0377358,6,GEOSYN. GRANITES,1
102,FONONDARA,790353,1093052,30,150,W,EC,1.084230398,296.3093023,9.9,VOLCANO-SEDIM. SCHISTS,2
103,TABAKORONI,790249,1093099,30,122,V,NC,0.220246374,387.96,12.2,GRANITES,10
104,MOUHOUELE,790187,1093022,40,113,V,CP,0.85103117,257.4,9,GRANITES,2
105,LANDIOUGOU,790635,1092760,50,300,V,CP,0.21684608,286.1067961,9.4,GRANITES,1
106,WORA,790724,1092789.5,30,274,V,CP,0.325165892,144.1262389,16.2,GRANITES,1.6
107,PINDIO,790232,1093057,50,113,V,CB2P,1.20145577,449.0538462,14.5,GRANITES,1
108,NONKPARADOUGOU,790838,1093058,50,384,V,CP,0.935443346,281.0536913,9,GEOSYN. GRANITES,10
109,GUINGUERENI,790618,1092974,40,108,V,CP,1.204700442,163.616129,5.3,GRANITES,10
110,SOMOROSSO,790594,1092865,70,43,V,CP,1.348436187,69.46054054,2.2,GRANITES,3.5
111,GBENI,790194,1093026,40,121,V,CP,0.385694608,294.1981132,10.5,GRANITES,10
112,GBEMOU,790207,1093044,20,214,V,CP,0.786408476,459.6939759,14.1,GRANITES,7.5
113,PAHATOGO,790353,1093052,30,150,V,NC,1.084230398,120.208,9.6,GRANITES,2.5
114,TIANNA,790249,1093099,30,122,V,NC,0.220246374,140.052,1.5,GRANITES,8.2
115,BOUNDIALI,790187,1093022,40,113,V,CP,0.85103117,,0,GRANITES,0
116,KOUTO,755914,1116108,60,86,V,EC,1.134659719,179.74,5.7,GRANITES,1
117,TENGRELA,755860,1115670,40,23,U,NC,0.922313193,199.584,6.3,GRANITES,1
118,KERE1,755914,1116108,60,86,V,CB2P,1.134659719,89.2137931,2.8,GRANITES,0.3
119,LINGUEKRO ,755860,1115670,40,23,V,NC,0.922313193,0,0,GRANITES,0
120,MAZELA,774794,1152124,40,84,V,CP,1.245854805,118.4139623,3.7,GRANITES,0.3
121,MBANA,760773,1160962,40,84,V,NC,1.245854805,215.6364238,6.9,GRANITES,3.6
122,BARADJAN ,756473,1154220,100,413,W,EC,0.085606148,132.44,4.2,VOLCANO-SEDIM. SCHISTS,1
123,KOTOUBA,759752,1136947,70,176,V,CP,0.409800521,321.527027,10.5,GRANITES,1
124,MAMAMOUGOULA ,790635,1092760,50,300,V,CP,0.21684608,232.5714286,7.4,GRANITES,1
125,NDONIEGUE ,790724,1092789.5,30,274,V,CP,0.325165892,264.528,8.4,GRANITES,0
126,NIENIESSO ,790838,1093058,50,384,V,CP,0.935443346,148.896,4.7,GRANITES,2.5
127,NIMGOUN ,790618,1092974,40,108,V,CP,1.204700442,198.3945578,4.6,GRANITES,2.3
128,SANGBANI ,790594,1092865,70,43,V,EC,1.348436187,343.2653061,11.6,GRANITES,1.2
129,ZEGBAO ,790194,1093026,40,121,W,EC,0.385694608,876.7741935,15.1,VOLCANO-SEDIM. SCHISTS,3.1
130,BANANIKORO,790207,1093044,20,214,V,CP,0.786408476,375.8773585,11.4,GEOSYN. GRANITES,5
131,DAGBAPLE,790635,1092760,50,300,V,CP,0.21684608,,6.1,GEOSYN. GRANITES,1.3
